,,Dimension of Athelete,,,
Athelete Personal Data,,,,,
ID,Name,Sex,Age,Height,Weight
7905,Dmitry Barkov,M,31,NA,NA
7906,Leonid Barkovskiy,M,23,175,75
7907,Sally Barkow,F,28,168,82
7908,"Donald Argee ""Don"" Barksdale",M,25,198,91
7909,Sharrieffa Finninninchirrir Barksdale (-Blair),F,23,162,54
7910,"Raymond Charles ""Ray"" Barkway",M,23,NA,NA
7911,Karl Barl,M,31,NA,NA
7912,"Lazarus ""Lajarus"" Barla",M,20,175,62
7913,Sylvia Johanna Martha Barlag,F,26,170,60
7914,Magorzata Barlak-Kamasiska,F,20,160,54
7915,Bernd Barleben,M,20,183,79
7916,Harald Barlie,M,23,178,83
7917,Oddvar Barlie,M,31,176,79
7918,Vegar Barlie,M,21,183,73
7919,Enzo Barlocco,M,24,179,83
7920,Valrie Gisele Angele Barlois-Mevel-Leroux,F,27,165,53
7921,"Neil Christopher ""Chris"" Barlow",M,30,183,84
7922,David Barlow,M,24,205,97
7923,Jocelyn Arthur Barlow,M,46,NA,NA
7924,Rachel Barlow,F,22,175,73
7925,Vernon William Barlow,M,22,NA,NA
7926,Gunnar Richard Bernhard Brlund,M,22,187,86
7927,Sulo Richard Brlund,M,26,186,87
7928,Bijoy Kumar Barman,M,23,NA,NA
7929,Bernard Barmasai,M,26,173,55
7930,Dmitry Vladimirovich Barmashov,M,24,178,78
7931,Frigyes Barna,M,NA,NA,NA
7932,Jzsef Barna (-Braun),M,23,NA,NA
7933,Petr Barna,M,21,165,65
7934,Jean Barnabe,M,19,165,62
7935,Daundre Barnaby,M,21,189,75
7936,"Arthur ""Art"" Barnard",M,23,180,77
7937,Elisa Barnard,F,19,171,57
7938,Ethel Susan Barnard,M,NA,NA,NA
7939,"Johannes Hendrikus ""Jan"" Barnard",M,27,NA,NA
7940,John Louis Barnard,M,23,NA,NA
7941,Susan Barnard,F,15,178,65
7942,Vladimir Mikhaylovich Barnashov,M,28,178,77
7943,Ghislaine Brigitte Marie Barnay (-Bambuck),F,23,176,63
7944,Johan Mats Rikard Barne,M,28,194,102
7945,Guy Marcos Barnea,M,20,179,73
7946,Tobias Barnerssoi,M,24,169,70
7947,"Albert Richard ""Alf"" Barnes",M,23,163,NA
7948,"Beverly Ann ""Bev"" Barnes",F,24,175,61
7949,"William E. ""Billy"" Barnes",M,NA,NA,NA
7950,Brian J. Barnes,M,18,NA,NA
7951,David Paul Barnes,M,18,185,82
7952,Emre Zafer (Winston-) Barnes,M,27,178,73
7953,Ernest Barnes,M,27,175,75
7954,"Ernest ""Ernie"" Barnes",M,24,NA,NA
7955,George Barnes,M,NA,NA,NA
7956,Harrison Bryce Jordan Barnes,M,24,203,102
7957,Heinrich Barnes,M,21,170,66
7958,"Velvet James ""Jim"" Barnes",M,23,201,109
7959,Jo-Anne Barnes,F,13,161,54
7960,John Baird Barnes,M,22,183,72
7961,Jennifer-Kirsten Barnes,F,20,175,75
7962,Lanny L. Barnes,F,23,163,50
7963,"Lee Stratford Barnes, Jr.",M,17,173,68
7964,"Elizabeth Ann ""Liz"" Barnes (-La Ban)",F,24,163,54
7965,N'Kosie Barnes,M,21,179,76
7966,"Nicol ""Nicky"" Barnes",M,23,177,72
7967,"Patrick Gerard ""Paddy"" Barnes",M,21,163,49
7968,"Eric Randolph ""Randy"" Barnes",M,22,195,132
7969,William Rolph Barnes,M,19,NA,NA
7970,"Thomas Ray ""Tom"" Barnes",M,24,188,91
7971,Tracey Ann Barnes,F,21,170,56
7972,Tracy Barnes,F,23,157,48
7973,Thomas William Barnes,M,48,NA,NA
7974,Leonora Lacy Barnes-Mileham,F,31,165,70
7975,Nelly Barnet Wilson,F,21,184,68
7976,Christine P. Barnetson (-Morrison),F,16,NA,NA
7977,Allison Elena Barnett,F,26,170,73
7978,Bryan Barnett,M,21,183,92
7979,Edward Willis Barnett,M,29,NA,NA
7980,John Thomas Barnett,M,28,NA,NA
7981,Kevin Rees Barnett,M,26,198,95
7982,Madeleine Eve Barnett (Bollinger-),F,29,160,57
7983,Joseph Melville Barnett,M,31,NA,90
7984,"Michael H. ""Mike"" Barnett",M,31,186,104
7985,"Reginald Albert ""Reg"" Barnett",M,22,173,66
7986,Richard Whieldon Barnett,M,44,NA,NA
7987,"Steven William ""Steve"" Barnett",M,25,191,86
7988,Steven John Barnett,M,25,174,75
7989,Tarasue Barnett,F,22,178,81
7990,"Anthony ""Tony"" Barnett",M,23,198,86
7991,"Wesley T. ""Wes"" Barnett",M,22,185,108
7992,Helen Catherine Barnett-Burkart,F,26,170,62
7993,Tamsin Barnett-Hinchley,F,20,193,75
7994,"Eric Richard ""Enrico"" Barney",M,27,184,75
7995,Kleanthis Barngas,M,22,178,79
7996,"Troy G. Barnhart, Jr.",M,25,193,98
7997,Romain Barnier,M,24,186,84
7998,Andrea Barno San Martn,F,32,175,64
7999,"Richard ""Ricky"" Barnor",M,28,172,71
8000,Harry Leonard Barnsley,M,19,NA,NA
8001,Angela Mary Barnwell (-Kemp),F,16,NA,NA
8002,Albert Barodet,M,NA,NA,NA
8003,Lazr Baroga,M,23,178,88
8004,Alizee Baron,F,21,175,64
8005,Bengt Baron,M,18,193,83
8006,Emille Raymond Baron,M,21,189,84
8007,"Mietje ""Marie"" Baron (-du Puy)",F,16,NA,NA
8008,McQuin Baron,M,20,206,104
8009,R. G. P. Baron,M,NA,NA,NA
8010,Gerhard Rudolf Viktor Baron von Hessert,M,25,NA,NA
8011,Bruno Baronchelli,M,19,172,68
8012,Ciriaco Baronda,M,22,NA,NA
8013,Barbara Barone de Pokorny,F,29,NA,NA
8014,Carmelo Barone,M,20,171,67
8015,Marian Emma Barone (Twining-),F,24,NA,NA
8016,Ottavio Barone,M,25,175,75
8017,Angela Baroni,F,25,156,50
8018,"Giovanni Mario ""Gianmario"" Baroni",M,26,NA,NA
8019,Roberto Baronio,M,22,180,72
8020,Alexander Baronjan,M,24,170,67
8021,Andrs Baronyi,M,15,NA,NA
8022,Milan Baro,M,18,181,77
8023,Raoul Meir Barouch,M,44,177,74
8024,Franois Barouh,M,25,186,80
8025,Thomas Gabriel Jrmie Baroukh,M,24,183,70
8026,Georgios Barous,M,NA,NA,NA
8027,Khasan Makharbekovich Baroyev,M,21,188,120
8028,Umberto Barozzi,M,26,175,75
8029,Rafael Manuel de Jesus Barquero Chaves,M,30,NA,NA
8030,"Bradley N. ""Brad"" Barquist",M,28,183,62
8031,"Elizabeth Cynthia ""Beth"" Barr (-Isaak)",F,16,178,60
8032,Davey Barr,M,32,178,84
8033,Jessie Barr,F,23,175,58
8034,Oslen McGregor Barr,M,23,165,67
8035,Peter Barr,M,21,178,77
8036,Thomas Barr,M,24,183,73
8037,Jean-Pierre Barra,M,21,168,58
8038,Guy Barrabino,M,26,170,68
8039,Richard William Barraclough,M,29,176,82
8040,Abdelaziz Barrada,M,23,180,74
8041,Eduardo Barragan,M,21,160,52
8042,Enrique Barragn Mndez,M,34,172,82
8043,Andr Barrais,M,28,183,78
8044,Nagib Barrak,M,NA,170,69
8045,mile Barral,M,28,NA,NA
8046,"Joseph ""Joe"" Barral",M,23,183,75
8047,Alicia Barrancos,F,24,NA,NA
8048,Grard Barras,M,23,190,80
8049,Romain Barras,M,24,194,86
8050,"Thomas Patrick ""Tom"" Barrasso",M,36,190,95
8051,Bronte Amelia Arnold Barratt,F,19,171,59
8052,Toms Barraza Barraza,M,28,NA,NA
8053,Alexandra Barr (Sandor-),F,26,173,59
8054,Denis Barr,M,24,180,71
8055,Jean Barr,M,23,178,71
8056,Mylanie Barr,F,25,178,58
8057,Odile Barre,F,30,170,64
8058,Pascal Barr,M,21,174,66
8059,Patrick Barr,M,21,172,63
8060,Stphane Georges Barr,M,26,180,68
8061,Jacques Barreau,M,29,NA,NA
8062,ngeles Barreiro Rico,F,28,173,75
8063,Ernesto Horacio Barreiros,M,22,165,65
8064,Onn Barreiros Rodrguez,M,26,177,66
8065,Hermann Joseph Barrelet,M,20,NA,NA
8066,scar Barrena Gonzlez,M,29,177,70
8067,Hernn Barreneche Ros,M,33,176,57
8068,Alejandro Barrenechea Jayo,M,24,164,67
8069,Claudia Barrenechea Troncoso,F,24,157,50
8070,Miguel Angel Barrenechea,M,20,170,74
8071,Rafael Barreno Martnez,M,22,183,120
8072,Joo Eduardo Gamarro Correia Barrento,M,NA,NA,NA
8073,Cesreo Barrera Moya,M,19,171,71
8074,Domingo Barrera Corpas,M,21,165,60
8075,Humberto Barrera,M,18,167,51
8076,Karla Barrera,F,20,164,54
8077,Sixto Csar Barrera Ochoa,M,24,176,74
8078,Juan Carlos Barreras Benitez,M,28,NA,NA
8079,Augusto Cassiano Neves de Mascarenhas de Andrade Barreto,M,29,NA,NA
8080,Carlos Augusto Barreto Hernndez,M,19,173,54
8081,Diego Daniel Barreto Cceres,M,23,182,78
8082,dgar Osvaldo Barreto Cceres,M,20,178,78
8083,Herman Barreto Avellaneda,M,25,NA,NA
8084,Marcos Barreto Luis,M,28,177,63
8085,Nuno Miguel Santos Barreto,M,24,185,75
8086,Ysis Lenis Barreto Rodrguez,F,28,159,63
8087,Alan John Barrett,M,23,NA,NA
8088,Brigetta LaShea Barrett,F,21,183,64
8089,Casey Barrett,M,21,183,78
8090,Charles Barrett,M,NA,NA,NA
8091,Christy Barrett (-Cummins),F,27,157,50
8092,Craig Michael Barrett,M,24,183,70
8093,Danny Barrett,M,26,188,102
8094,"Francis ""Francie"" Barrett",M,19,176,64
8095,Frederick Whitfield Barrett,M,44,NA,NA
8096,Gerard Barrett,M,23,174,66
8097,"Henry Frederick ""Harry"" Barrett",M,28,NA,NA
8098,James Barrett,M,28,NA,NA
8099,Jeremy Barrett,M,25,175,75
8100,John Barrett,M,21,200,105
8101,"Kenneth Allen ""Ken"" Barrett",M,21,175,68
8102,"Kimberly ""Kim"" Barrett",F,22,NA,79
8103,William Lane Barrett,M,27,NA,NA
8104,"Michael Thomas ""Mike"" Barrett",M,25,188,73
8105,"Edward ""Ned"" Barrett",M,30,185,99
8106,Peter Jones Barrett,M,25,184,88
8107,Herbert Roper Barrett,M,34,NA,NA
8108,John Rory Barrett,M,30,185,110
8109,Rowan Art Barrett,M,27,195,95
8110,"Timothy Edward A. ""Tim"" Barrett",M,20,184,79
8111,W. F. Barrett,M,NA,NA,NA
8112,Hugo Barrette,M,25,175,90
8113,Rafael S. Barretto,M,NA,188,NA
8114,Francisco Carlos Barretto Jnior,M,26,175,72
8115,Jean Louis Charles Joseph Barrez,M,NA,NA,NA
8116,Robert Gordon Barrie,M,20,181,73
8117,Armando Barrientos Schweyer,M,42,NA,NA
8118,Claudio Barrientos Negrn,M,21,NA,NA
8119,Hernando Juan Barrientos Gmez,M,39,NA,NA
8120,Isaac Barrientos Flores,M,18,190,108
8121,Jos Eduardo Barrientos Schweyer,M,24,181,70
8122,Marcelo Barrientos Cardenas,M,26,173,60
8123,Adrien Antonin Barrier,M,21,NA,NA
8124,"James Marvin ""Jim"" Barrier",M,19,NA,NA
8125,Mark Anthony Barriga,M,19,157,48
8126,Armando Barriguete,M,NA,170,NA
8127,"James Archibald Barrineau, Jr.",M,21,190,70
8128,"Jennifer Mae ""Jenny"" Barringer-Simpson",F,21,166,53
8129,Reto Barrington,M,19,170,65
8130,John Craig Barrington-Ward,M,23,NA,NA
8131,Sonia Barrio Gutirrez,F,22,164,56
8132,Luis Bruno Barrionuevo,M,23,190,72
8133,Mara Noel Barrionuevo,F,24,171,58
8134,Arturo Barrios Flores,M,24,174,60
8135,Jos Antonio Barrios Olivero,M,19,172,68
8136,Juan Luis Barrios Nieves,M,25,173,65
8137,Pablo Jos Barrios Linares,M,44,178,72
8138,Tala Barrios,F,19,168,53
8139,Wilmar Enrique Barrios Tern,M,22,179,70
8140,Yarelis Barrios Castaeda,F,25,172,89
8141,Toms Barris Ballestn,M,30,171,67
8142,Juan Pablo Barro Ordovas,M,23,172,74
8143,Gonzalo Barroilhet Costabal,M,21,194,94
8144,"Andrew James ""Andy"" Barron",M,20,170,67
8145,Blanca Luz Barrn Serrano,F,22,168,50
8146,Brett Dewey Barron,M,24,175,78
8147,Carlos Barron,M,26,183,69
8148,"Harold Earl ""Hal"" Barron",M,25,183,64
8149,"Peter-James ""PJ"" Barron",M,20,174,70
8150,Scott Barron,M,21,180,73
8151,Trevor Barron,M,19,191,73
8152,Erick Bernab Barrondo Garca,M,21,178,60
8153,Ana Patrcia  da Costa Barros,F,19,173,75
8154,Ana de Oliveira Barros,F,23,NA,NA
8155,Ana Lusa Amado Antas de Barros,F,22,169,69
8156,Csar Jorge Barros Luther,M,24,NA,NA
8157,"Laudelino Jos ""Lino"" de Barros",M,25,182,81
8158,Elsa Marisa Branco Barros Rodrigues,F,28,160,50
8159,Milton Lourenco Rosa Barros,M,24,183,75
8160,Zoila Barros Fernndez,F,28,188,72
8161,Jaime Jess Barroso Ramrez,M,24,170,56
8162,Lus Filipe Palma Barroso,M,18,170,64
8163,Manuel Jos Lopes Pinto Barroso,M,20,175,65
8164,Manuel da Silva Barroso,M,41,NA,NA
8165,Philippe Barroso,M,20,NA,NA
8166,Aissam Al-Barroudi,M,22,NA,NA
8167,Cordell Hull Barrow,M,24,182,73
8168,"Daniel Hubert ""Dan"" Barrow, Jr.",M,27,NA,NA
8169,Rawle Hamilton D. Barrow,M,30,178,82
8170,Sarah Ellen Barrow,F,23,162,52
8171,"Michael Ray ""Mike"" Barrowman",M,19,180,75
8172,"James Michael ""Jim"" Barrows",M,23,183,86
8173,Thomas Barrows III,M,20,186,82
8174,"Jack Leonard ""Jay"" Barrs, Jr.",M,26,182,70
8175,Luis A. Barrufa Casenave,M,22,175,77
8176,David Barrufet Bofill,M,22,197,100
8177,Esther Barrugus Alvina,F,36,164,60
8178,Aissatou Barry,F,21,NA,NA
8179,"William ""Bill"" Barry",M,NA,NA,NA
8180,Clifford Barry,M,26,178,76
8181,Damion Ian Kenton Barry,M,18,180,82
8182,Djene Barry,F,26,179,70
8183,John Burke Alexander Barry,M,40,171,NA
8184,John Joe Barry,M,22,176,61
8185,Kevin Barry,M,NA,NA,NA
8186,Kevin Michael Joseph Barry,M,24,187,80
8187,Mamadou Barry,M,20,178,66
8188,Mariama Dalanda Barry,F,17,NA,67
8189,Mark A. Barry,M,20,170,70
8190,Maurice Joseph Barry,M,23,NA,NA
8191,Michael Gerard Barry,M,20,189,72
8192,"Michael ""Mike"" Barry",M,22,165,57
8193,Peter Barry,M,56,180,78
8194,Raymond Barry,M,22,160,57
8195,Rhona Barry,F,27,NA,NA
8196,Steeve Barry,M,25,181,85
8197,"Steven John ""Steve"" Barry",M,33,170,62
8198,Trevor George Barry,M,29,190,77
8199,William Louis Barry,M,23,188,85
8200,Florina Maria Brsan-Chintoan,F,22,178,67
8201,Kay Irene Barsdell,F,23,NA,NA
8202,Anahit Barseghyan,F,18,163,58
8203,Hovhannes Barseghyan,M,26,NA,76
8204,Mutaz Essa Barshim,M,21,190,65
8205,Kinga Barsi,F,21,178,70
8206,Lszl Barsi,M,26,176,77
8207,Lszl Barsi (Tomaschek-),M,23,NA,NA
8208,Franz Barsicke,M,31,164,49
8209,"Selina ""Sally"" Barsosio",F,18,165,46
8210,Dino Barsotti,M,29,173,NA
8211,Dmitry Nikolayevich Barsuk,M,28,193,86
8212,Tatyana Valeryevna Barsuk,F,31,170,66
8213,Yuliya Vladimirovna Barsukova (-Samokhin),F,21,168,45
8214,Jacob Jepsen Barse,M,23,188,73
8215,Adrien Bart,M,24,185,84
8216,Robert Bart,M,22,180,76
8217,Alexander Brta,M,30,NA,NA
8218,Alexander Barta,M,23,179,76
8219,Franz Barta,M,21,NA,NA
8220,Istvn Barta (Berger),M,28,185,NA
8221,Jan Brta,M,27,184,75
8222,Nra Barta,F,16,170,60
8223,Vladimr Brta,M,25,183,78
8224,Zdenk Hynek Brta,M,20,NA,NA
8225,Lenka Bartkov,F,21,175,64
8226,Marie Bartkov,F,27,170,71
8227,Marcello Bartalini,M,22,193,90
8228,Klmn Bartalis,M,47,NA,NA
8229,Bla Bartalos,M,24,182,82
8230,Caroline Bartasek,F,25,175,67
8231,"Jolanta Bartczak (-Maolepszy, -Skrzyszowska)",F,24,169,57
8232,ubo Barteko,M,25,183,86
8233,Tom Bartek,M,30,192,88
8234,Danka Bartekov,F,23,170,55
8235,"Corinne ""Cori"" Bartel (-Morris)",F,38,165,58
8236,Robin Dale Bartel,M,22,183,91
8237,Beatrice Bartelloni,F,23,165,50
8238,Ralf Bartels,M,26,186,128
8239,Wolfgang Bartels,M,23,184,82
8240,"Martina Maria Anna Antonia ""Tineke"" Bartels-de Vries",F,33,177,64
8241,Konrad Bartelski,M,17,178,72
8242,"Herbert Otto ""Herb"" Barten",M,20,178,64
8243,Leonid Volodymyrovych Barteniev,M,23,174,70
8244,Luigi Bartesaghi,M,27,165,60
8245,Krisztin Brtfai,M,18,175,78
8246,"Carmine R. ""Carmen"" Barth (DiBartolomeo-)",M,19,175,72
8247,Claudia Barth,F,25,183,73
8248,Elke Barth (-Schmitz),F,19,167,53
8249,Friederike Barth (-Sievers),F,25,177,70
8250,Heidrun Barth (-Steininger),F,23,161,47
8251,Hugo Barth,M,24,176,78
8252,Jrgen Barth,M,25,166,69
8253,Manfred Barth,M,43,176,62
8254,Paul Barth,M,31,NA,NA
8255,Paul Barth,M,26,181,90
8256,Philip Barth,M,24,188,80
8257,Ren Barth,M,20,192,98
8258,Thomas Barth,M,20,174,72
8259,Jrgen Ludvig Barth-Jrgensen,M,20,NA,90
8260,Gyula Bartha,M,27,186,84
8261,Iosif Bartha,M,21,NA,NA
8262,Kroly Bartha,M,16,NA,NA
8263,Lszl Bartha,M,23,NA,NA
8264,Levente Gabriel Bartha,M,28,185,80
8265,Magdolna Bartha,F,30,NA,NA
8266,Barbara Barthel,F,27,164,63
8267,"Josef Henri ""Josy"" Barthel",M,21,173,68
8268,Mona Barthel,F,22,185,75
8269,"Zhenqi Barthel (Sun-, -Apolnia)",F,21,164,62
8270,Yan Barthelem Varela,M,24,172,48
8271,Laure Barthelemy,F,21,167,60
8272,Richard Barthlemy,M,NA,NA,NA
8273,Wolfgang Barthels,M,23,173,71
8274,Anne-Sophie Barthet,F,17,170,71
8275,"Friedrich Carl ""Fritz"" Bartholomae",M,25,NA,NA
8276,Willi Bartholomae,M,27,NA,NA
8277,"William August Bartholomae, Jr.",M,43,NA,NA
8278,Nathan Bartholomay,M,24,175,81
8279,Bruno Martin Ernst Arthur Bartholome,M,33,163,48
8280,"Robert Raymond ""Bart"" Bartholomew",M,32,175,90
8281,Jacinta Bartholomew,F,19,175,54
8282,"Kenneth Eldred ""Ken"" Bartholomew (Bartholomay-)",M,27,NA,NA
8283,Trish Bartholomew,F,21,160,59
8284,Anton Barticevic,M,30,178,80
8285,Robert Bartko,M,20,186,80
8286,Beata Bartkw-Kwiatkowska,F,30,168,74
8287,"Francis Anthony ""Frank"" Bartkus",M,20,NA,NA
8288,Franz Bartl,M,21,NA,NA
8289,Johann Bartl,M,22,NA,NA
8290,Christopher Bartle,M,32,183,70
8291,Jane Bartle-Wilson,F,33,163,60
8292,Hotse Sjoerd Durk Bartlema,M,25,NA,NA
8293,Charles Henry Bartlett,M,23,NA,NA
8294,Henry David Hardington Bartlett,M,24,NA,NA
8295,"Donald Brian ""Don"" Bartlett",M,41,185,84
8296,Harold Terry Bartlett,M,24,179,NA
8297,"James Alfred ""Jimmy"" Bartlett",M,28,NA,NA
8298,William Kenneth Charles Bartlett,M,23,183,75
8299,Laura Bartlett,F,20,169,63
8300,Lee Marion Bartlett,M,21,183,75
8301,"Terence J. ""Terry"" Bartlett",M,20,175,71
8302,"Anthony William ""Tony"" Bartlett",M,33,175,73
8303,Carol Anne Bartlett-Page,F,35,165,56
8304,"Christopher Roger ""Chris"" Bartley",M,28,178,72
8305,Charles Albert Bartliff,M,17,NA,NA
8306,Michiel Bernhard Emiel Marie Bartman,M,29,193,90
8307,Zbigniew Bartman,M,25,198,83
8308,Bartomiej Bartnicki,M,23,186,99
8309,Gnter Bartnik,M,22,170,66
8310,Wojciech Stanisaw Bartnik,M,24,182,91
8311,"Joseph ""Joe"" Bartoch",M,25,190,98
8312,Lszl Bartk,M,NA,NA,NA
8313,Michele Bartoli,M,26,180,70
8314,Frank Bartolillo,M,22,165,67
8315,"Erica K. Bartolina (Boren-, -Fraley)",F,28,165,58
8316,Enzo Bartolini,M,22,NA,NA
8317,Luigi Bartolini,M,56,NA,NA
8318,Nello Bartolini,M,23,167,NA
8319,Abbo Dias Bartolomeu,M,22,NA,NA
8320,Christopher Paul Bartolone,M,28,179,86
8321,Eddy Enrique Bartolozzi,M,23,177,85
8322,Antonn Barto,M,23,180,NA
8323,Bruce Michael Barton,M,19,180,71
8324,Carrie Elizabeth Barton,F,24,165,59
8325,"Christopher Bertram Ronald ""Chris"" Barton",M,20,NA,NA
8326,Clive Barton,M,28,189,85
8327,"Frederick Bertram ""Derick"" Barton",M,23,NA,NA
8328,"Richard Walter ""Dick"" Barton",M,20,NA,NA
8329,George Raymond Barton,M,26,181,80
8330,"Gregory Mark ""Greg"" Barton",M,24,180,79
8331,"James ""Jim"" Barton",M,40,188,84
8332,Karl Edward James Barton,M,23,167,68
8333,Rosalyn Barton (-Cooper),F,17,NA,NA
8334,Slavomr Barto,M,26,183,81
8335,Maureen Anne Barton-Chitty,F,20,170,61
8336,Jitka Bartonikov,F,26,175,56
8337,Kateina Bartoov,F,22,174,65
8338,Zdeka Bartoov-ilhav (Kus-),F,26,178,85
8339,Magdalena Barto (-Chezan),F,21,166,58
8340,Erzsbet Bartos-Heldt,F,19,162,52
8341,Heinrich Anton Bartosch,M,54,NA,NA
8342,Peter Bartosiewicz,M,21,176,68
8343,Alison Bartosik,F,21,172,64
8344,Jan Bartosik,M,32,182,92
8345,Alena Bartoov,F,27,165,55
8346,Joanna Danuta Bartosz (-Bronarska),F,18,154,42
8347,Micha Bartoszak,M,34,180,67
8348,Danuta Bartoszek,F,34,155,55
8349,Wodzimierz Joachim Bartoszewicz,M,37,NA,NA
8350,Daniela Brtov (-Breckov),F,18,163,64
8351,Heidemarie Brtov-Grck,F,15,162,59
8352,Duan Bartovi,M,24,178,74
8353,Milan Bartovi,M,32,183,88
8354,John Lavers Bartram,M,23,173,68
8355,Andreas Ernst Gustav Walter Bartram,M,43,NA,NA
8356,Sergio Bartrina Bitterlich,M,25,182,72
8357,Christopher Bartsch,M,34,180,NA
8358,Peter Brtschi,M,24,182,75
8359,Jan Brt,M,21,181,67
8360,Karel Brt,M,31,NA,NA
8361,Oskars Brtulis,M,23,190,90
8362,Jan Bartnk,M,27,177,80
8363,Miroslav Bartek,M,26,NA,NA
8364,Saskia Bartusiak,F,33,170,60
8365,Vincas Bartuka,M,23,170,NA
8366,"Jennifer Ann ""Jenny"" Bartz (-McGillin)",F,17,171,61
8367,"Randall Earl ""Randy"" Bartz",M,25,175,75
8368,Edmund Ludwik Bartomiejczyk,M,46,NA,NA
8369,Morea Baru,M,26,162,62
8370,Enrique Bara Lecaros,M,18,180,76
8371,Alberto Barucco,M,22,176,66
8372,Andreas Barucha,M,30,180,93
8373,Stefan Barucha,M,24,184,90
8374,Alain Pierre Barudoni,M,32,177,74
8375,Sawomir Barul,M,31,176,70
8376,Jadran Barut,M,23,178,73
8377,"Ernest William ""Bill"" Barwick",M,27,NA,NA
8378,Franz Barwig,M,60,NA,NA
8379,Anita Brwirth (-Hardekopf),F,17,NA,NA
8380,Adam Barwood,M,21,185,82
8381,Malin Birgitta Baryard-Johnsson,F,21,172,52
8382,Mariya Mikhaylovna Barykina,F,28,170,56
8383,Varvara Borisovna Barysheva,F,20,168,62
8384,Olga Fyodorovna Barysheva-Korostelyova,F,21,168,67
8385,Aleksandr Georgiyevich Baryshnikov,M,23,198,130
8386,Anastasiya Vladimirovna Baryshnikova,F,21,173,67
8387,Ginter Helmut Barysz (Barisch),M,19,NA,NA
8388,Norbelis Brzaga Vzquez,M,25,177,75
8389,Andrea Barzagli,M,23,190,82
8390,Serafim Ivanov Barzakov,M,20,170,66
8391,Khristo Barzanov,M,19,181,78
8392,Mansour Barzegar,M,25,178,74
8393,Sajjad Barzi,M,23,195,120
8394,Miguel ngel Brzola,M,30,172,54
8395,Paulina Barzycka,F,18,181,67
8396,Hctor Bas,M,17,163,63
8397,Jos Bas Molina,M,24,NA,NA
8398,Maurice Bas,M,NA,NA,NA
8399,"Franois ""Nol"" Bas",M,22,NA,NA
8400,Ion Baa,M,23,177,75
8401,Marko Baa,M,21,190,80
8402,Silvano Basagni,M,34,182,84
8403,Juan Ignacio Basaguren Garca,M,24,182,81
8404,Birendra Nath Basak,M,40,NA,NA
8405,Jol Basaldua Bravo,M,22,160,56
8406,Anna Yevgenyevna Basalkina,F,26,175,54
8407,Josateki Basalusalu,M,33,165,86
8408,Sambiao Basanung,M,26,NA,NA
8409,Hakk Baar,M,22,185,97
8410,Azzedine Basbas,M,21,165,56
8411,Iurie Bacatov,M,20,190,85
8412,Gabriella Bascelli,F,21,185,75
8413,M. Bascher,M,NA,NA,NA
8414,Michaela Baschin,F,24,163,48
8415,Jeremy Bascom,M,28,170,73
8416,Jaime Bascon,M,24,NA,NA
8417,Dimitri David Bascou,M,25,181,80
8418,Juan (-John) Bascun Jorguera,M,27,168,73
8419,Waldemar Edgar Basel,M,21,NA,NA
8420,Dialma Baselgia,M,47,NA,NA
8421,"Joseph J. ""Johnny"" Basham",M,NA,NA,NA
8422,Anatoly Vasilyevich Bashashkin,M,28,NA,NA
8423,A. Sattar Basheer,M,NA,NA,NA
8424,John Bashford,M,NA,NA,NA
8425,Ndabili Bashingili,M,24,172,59
8426,Atif Bashir,M,29,167,62
8427,Daham Najim Bashir,M,28,171,60
8428,Ghulam Mustafa Bashir,M,29,180,74
8429,Khalid Bashir,M,20,177,65
8430,Khamis Ashur Khamis Bashir,M,NA,140,70
8431,Muhammad Bashir,M,25,168,73
8432,Muhammad Bashir,M,NA,NA,60
8433,Muhammad Bashir,M,17,NA,NA
8434,Muhammad Ahmed Bashir,M,22,180,83
8435,Sayed Bashiri,M,24,150,50
8436,Aliasker Bashirov,M,25,180,69
8437,Alibek Alikovich Bashkayev,M,18,180,81
8438,Galina Bashlakova,F,31,172,63
8439,Aleksandr Vasilyevich Bashminov,M,22,209,108
8440,Jessica Lynn Bashor,F,23,165,66
8441,Lindsey Kristin Bashor,F,21,173,75
8442,Kayla M. Bashore-Smedley,F,25,157,58
8443,Clara Basiana Caellas,F,21,170,39
8444,Karlo Bai,M,40,NA,NA
8445,Mirko Bai,M,23,188,90
8446,Mirza Bai,M,25,188,87
8447,Sonja Bai,F,24,182,77
8448,Tomislav Bai,M,29,177,65
8449,Andrzej Jzef Basik,M,28,187,120
8450,Adam Edward Basil,M,29,176,76
8451,Nikoloz Basilashvili,M,24,185,80
8452,Fabio Basile,M,21,160,66
8453,Gianluca Basile,M,25,192,94
8454,Leonardo Basile,M,25,185,94
8455,Norma Enriqueta Basilio Sotelo,F,20,176,59
8456,Igor Mikhaylovich Basinsky,M,25,180,97
8457,Lulu Basinyi,M,24,170,61
8458,Ahmed Abdul Basith,M,30,178,75
8459,Kalle Bask,M,29,191,81
8460,Estelle Jane Baskerville (-Diehl),F,17,167,57
8461,Robin Baskerville,M,18,177,76
8462,John Glenn Baskfield,M,22,173,81
8463,Tracy A. Baskin,M,22,190,77
8464,Kemal Bakr,M,24,167,67
8465,Gunta Bako,F,28,181,74
8466,Dragica Basleti,F,31,NA,NA
8467,Giulio Basletta,M,33,NA,NA
8468,Marios Basmatzian,M,26,169,65
8469,Arjun Kumar Basnet,M,32,171,58
8470,Krishna Bahadur Basnet,M,29,168,58
8471,Laxman Basnet,M,23,162,50
